,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Set type,Set size,Set type (absolute),Samples
372,Random,sponges_networks,Random networks,,,Difference,877,,10.0
373,Random,sponges_networks,Random networks,,,Intersection 0.2,107,2.0,10.0
374,Random,sponges_networks,Random networks,,,Intersection 0.3,9,3.0,10.0
375,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
376,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
377,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
378,Degree,sponges_networks,Degree networks,,,Difference,799,,10.0
379,Degree,sponges_networks,Degree networks,,,Intersection 0.2,138,2.0,10.0
380,Degree,sponges_networks,Degree networks,,,Intersection 0.3,23,3.0,10.0
381,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
382,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
383,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
384,Random,sponges_networks,Random networks,,,Difference,877,,10.0
385,Random,sponges_networks,Random networks,,,Intersection 0.2,109,2.0,10.0
386,Random,sponges_networks,Random networks,,,Intersection 0.3,6,3.0,10.0
387,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
388,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
389,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
390,Degree,sponges_networks,Degree networks,,,Difference,803,,10.0
391,Degree,sponges_networks,Degree networks,,,Intersection 0.2,142,2.0,10.0
392,Degree,sponges_networks,Degree networks,,,Intersection 0.3,14,3.0,10.0
393,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
394,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
395,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
396,Random,sponges_networks,Random networks,,,Difference,830,,10.0
397,Random,sponges_networks,Random networks,,,Intersection 0.2,130,2.0,10.0
398,Random,sponges_networks,Random networks,,,Intersection 0.3,10,3.0,10.0
399,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
400,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
401,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
402,Degree,sponges_networks,Degree networks,,,Difference,825,,10.0
403,Degree,sponges_networks,Degree networks,,,Intersection 0.2,132,2.0,10.0
404,Degree,sponges_networks,Degree networks,,,Intersection 0.3,11,3.0,10.0
405,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
406,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
407,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
408,Random,sponges_networks,Random networks,,,Difference,837,,10.0
409,Random,sponges_networks,Random networks,,,Intersection 0.2,128,2.0,10.0
410,Random,sponges_networks,Random networks,,,Intersection 0.3,7,3.0,10.0
411,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
412,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
413,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
414,Degree,sponges_networks,Degree networks,,,Difference,804,,10.0
415,Degree,sponges_networks,Degree networks,,,Intersection 0.2,141,2.0,10.0
416,Degree,sponges_networks,Degree networks,,,Intersection 0.3,13,3.0,10.0
417,Degree,sponges_networks,Degree networks,,,Intersection 0.5,1,5.0,10.0
418,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
419,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
420,Random,sponges_networks,Random networks,,,Difference,840,,10.0
421,Random,sponges_networks,Random networks,,,Intersection 0.2,124,2.0,10.0
422,Random,sponges_networks,Random networks,,,Intersection 0.3,13,3.0,10.0
423,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
424,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
425,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
426,Degree,sponges_networks,Degree networks,,,Difference,810,,10.0
427,Degree,sponges_networks,Degree networks,,,Intersection 0.2,141,2.0,10.0
428,Degree,sponges_networks,Degree networks,,,Intersection 0.3,8,3.0,10.0
429,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
430,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
431,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
432,Random,sponges_networks,Random networks,,,Difference,855,,10.0
433,Random,sponges_networks,Random networks,,,Intersection 0.2,118,2.0,10.0
434,Random,sponges_networks,Random networks,,,Intersection 0.3,8,3.0,10.0
435,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
436,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
437,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
438,Degree,sponges_networks,Degree networks,,,Difference,797,,10.0
439,Degree,sponges_networks,Degree networks,,,Intersection 0.2,141,2.0,10.0
440,Degree,sponges_networks,Degree networks,,,Intersection 0.3,22,3.0,10.0
441,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
442,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
443,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
444,Random,sponges_networks,Random networks,,,Difference,882,,10.0
445,Random,sponges_networks,Random networks,,,Intersection 0.2,105,2.0,10.0
446,Random,sponges_networks,Random networks,,,Intersection 0.3,9,3.0,10.0
447,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
448,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
449,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
450,Degree,sponges_networks,Degree networks,,,Difference,856,,10.0
451,Degree,sponges_networks,Degree networks,,,Intersection 0.2,114,2.0,10.0
452,Degree,sponges_networks,Degree networks,,,Intersection 0.3,15,3.0,10.0
453,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
454,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
455,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
456,Random,sponges_networks,Random networks,,,Difference,867,,10.0
457,Random,sponges_networks,Random networks,,,Intersection 0.2,115,2.0,10.0
458,Random,sponges_networks,Random networks,,,Intersection 0.3,4,3.0,10.0
459,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
460,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
461,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
462,Degree,sponges_networks,Degree networks,,,Difference,834,,10.0
463,Degree,sponges_networks,Degree networks,,,Intersection 0.2,129,2.0,10.0
464,Degree,sponges_networks,Degree networks,,,Intersection 0.3,9,3.0,10.0
465,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
466,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
467,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
468,Random,sponges_networks,Random networks,,,Difference,862,,10.0
469,Random,sponges_networks,Random networks,,,Intersection 0.2,113,2.0,10.0
470,Random,sponges_networks,Random networks,,,Intersection 0.3,12,3.0,10.0
471,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
472,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
473,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
474,Degree,sponges_networks,Degree networks,,,Difference,841,,10.0
475,Degree,sponges_networks,Degree networks,,,Intersection 0.2,123,2.0,10.0
476,Degree,sponges_networks,Degree networks,,,Intersection 0.3,12,3.0,10.0
477,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
478,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
479,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
480,Random,sponges_networks,Random networks,,,Difference,839,,10.0
481,Random,sponges_networks,Random networks,,,Intersection 0.2,126,2.0,10.0
482,Random,sponges_networks,Random networks,,,Intersection 0.3,9,3.0,10.0
483,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
484,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
485,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
486,Degree,sponges_networks,Degree networks,,,Difference,823,,10.0
487,Degree,sponges_networks,Degree networks,,,Intersection 0.2,133,2.0,10.0
488,Degree,sponges_networks,Degree networks,,,Intersection 0.3,12,3.0,10.0
489,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
490,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
491,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
492,Random,sponges_networks,Random networks,,,Difference,857,,10.0
493,Random,sponges_networks,Random networks,,,Intersection 0.2,115,2.0,10.0
494,Random,sponges_networks,Random networks,,,Intersection 0.3,14,3.0,10.0
495,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
496,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
497,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
498,Degree,sponges_networks,Degree networks,,,Difference,839,,10.0
499,Degree,sponges_networks,Degree networks,,,Intersection 0.2,123,2.0,10.0
500,Degree,sponges_networks,Degree networks,,,Intersection 0.3,15,3.0,10.0
501,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
502,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
503,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
504,Random,sponges_networks,Random networks,,,Difference,852,,10.0
505,Random,sponges_networks,Random networks,,,Intersection 0.2,119,2.0,10.0
506,Random,sponges_networks,Random networks,,,Intersection 0.3,9,3.0,10.0
507,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
508,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
509,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
510,Degree,sponges_networks,Degree networks,,,Difference,822,,10.0
511,Degree,sponges_networks,Degree networks,,,Intersection 0.2,132,2.0,10.0
512,Degree,sponges_networks,Degree networks,,,Intersection 0.3,13,3.0,10.0
513,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
514,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
515,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
516,Random,sponges_networks,Random networks,,,Difference,856,,10.0
517,Random,sponges_networks,Random networks,,,Intersection 0.2,117,2.0,10.0
518,Random,sponges_networks,Random networks,,,Intersection 0.3,10,3.0,10.0
519,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
520,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
521,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
522,Degree,sponges_networks,Degree networks,,,Difference,793,,10.0
523,Degree,sponges_networks,Degree networks,,,Intersection 0.2,144,2.0,10.0
524,Degree,sponges_networks,Degree networks,,,Intersection 0.3,19,3.0,10.0
525,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
526,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
527,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
528,Random,sponges_networks,Random networks,,,Difference,853,,10.0
529,Random,sponges_networks,Random networks,,,Intersection 0.2,117,2.0,10.0
530,Random,sponges_networks,Random networks,,,Intersection 0.3,14,3.0,10.0
531,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
532,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
533,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
534,Degree,sponges_networks,Degree networks,,,Difference,818,,10.0
535,Degree,sponges_networks,Degree networks,,,Intersection 0.2,131,2.0,10.0
536,Degree,sponges_networks,Degree networks,,,Intersection 0.3,16,3.0,10.0
537,Degree,sponges_networks,Degree networks,,,Intersection 0.5,1,5.0,10.0
538,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
539,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
540,Random,sponges_networks,Random networks,,,Difference,860,,10.0
541,Random,sponges_networks,Random networks,,,Intersection 0.2,117,2.0,10.0
542,Random,sponges_networks,Random networks,,,Intersection 0.3,6,3.0,10.0
543,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
544,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
545,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
546,Degree,sponges_networks,Degree networks,,,Difference,815,,10.0
547,Degree,sponges_networks,Degree networks,,,Intersection 0.2,133,2.0,10.0
548,Degree,sponges_networks,Degree networks,,,Intersection 0.3,18,3.0,10.0
549,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
550,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
551,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
552,Random,sponges_networks,Random networks,,,Difference,863,,10.0
553,Random,sponges_networks,Random networks,,,Intersection 0.2,115,2.0,10.0
554,Random,sponges_networks,Random networks,,,Intersection 0.3,6,3.0,10.0
555,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
556,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
557,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
558,Degree,sponges_networks,Degree networks,,,Difference,824,,10.0
559,Degree,sponges_networks,Degree networks,,,Intersection 0.2,132,2.0,10.0
560,Degree,sponges_networks,Degree networks,,,Intersection 0.3,13,3.0,10.0
561,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
562,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
563,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
564,Random,sponges_networks,Random networks,,,Difference,833,,10.0
565,Random,sponges_networks,Random networks,,,Intersection 0.2,128,2.0,10.0
566,Random,sponges_networks,Random networks,,,Intersection 0.3,10,3.0,10.0
567,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
568,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
569,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
570,Degree,sponges_networks,Degree networks,,,Difference,822,,10.0
571,Degree,sponges_networks,Degree networks,,,Intersection 0.2,130,2.0,10.0
572,Degree,sponges_networks,Degree networks,,,Intersection 0.3,17,3.0,10.0
573,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
574,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
575,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
576,Random,sponges_networks,Random networks,,,Difference,875,,10.0
577,Random,sponges_networks,Random networks,,,Intersection 0.2,108,2.0,10.0
578,Random,sponges_networks,Random networks,,,Intersection 0.3,9,3.0,10.0
579,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
580,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
581,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
582,Degree,sponges_networks,Degree networks,,,Difference,810,,10.0
583,Degree,sponges_networks,Degree networks,,,Intersection 0.2,138,2.0,10.0
584,Degree,sponges_networks,Degree networks,,,Intersection 0.3,13,3.0,10.0
585,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
586,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
587,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
588,Random,sponges_networks,Random networks,,,Difference,817,,10.0
589,Random,sponges_networks,Random networks,,,Intersection 0.2,134,2.0,10.0
590,Random,sponges_networks,Random networks,,,Intersection 0.3,14,3.0,10.0
591,Random,sponges_networks,Random networks,,,Intersection 0.5,1,5.0,10.0
592,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
593,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
594,Degree,sponges_networks,Degree networks,,,Difference,810,,10.0
595,Degree,sponges_networks,Degree networks,,,Intersection 0.2,139,2.0,10.0
596,Degree,sponges_networks,Degree networks,,,Intersection 0.3,13,3.0,10.0
597,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
598,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
599,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
600,Random,sponges_networks,Random networks,,,Difference,827,,10.0
601,Random,sponges_networks,Random networks,,,Intersection 0.2,131,2.0,10.0
602,Random,sponges_networks,Random networks,,,Intersection 0.3,10,3.0,10.0
603,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
604,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
605,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
606,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Difference,542,,10.0
607,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.2,246,2.0,10.0
608,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.3,51,3.0,10.0
609,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.5,2,5.0,10.0
610,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
611,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 1,0,10.0,10.0
612,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Difference,569,,10.0
613,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.2,236,2.0,10.0
614,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.3,42,3.0,10.0
615,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.5,3,5.0,10.0
616,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
617,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 1,0,10.0,10.0
618,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Difference,532,,10.0
619,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.2,249,2.0,10.0
620,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.3,51,3.0,10.0
621,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.5,5,5.0,10.0
622,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.7,1,7.0,10.0
623,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 1,0,10.0,10.0
624,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Difference,569,,10.0
625,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.2,239,2.0,10.0
626,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.3,37,3.0,10.0
627,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.5,3,5.0,10.0
628,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
629,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 1,0,10.0,10.0
630,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Difference,535,,10.0
631,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.2,246,2.0,10.0
632,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.3,49,3.0,10.0
633,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.5,2,5.0,10.0
634,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
635,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 1,0,10.0,10.0
636,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Difference,579,,10.0
637,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.2,236,2.0,10.0
638,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.3,29,3.0,10.0
639,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.5,6,5.0,10.0
640,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.7,1,7.0,10.0
641,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 1,0,10.0,10.0
642,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Difference,527,,10.0
643,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.2,246,2.0,10.0
644,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.3,55,3.0,10.0
645,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.5,4,5.0,10.0
646,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
647,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 1,0,10.0,10.0
648,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Difference,556,,10.0
649,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.2,241,2.0,10.0
650,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.3,42,3.0,10.0
651,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.5,4,5.0,10.0
652,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
653,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 1,0,10.0,10.0
654,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Difference,524,,10.0
655,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.2,249,2.0,10.0
656,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.3,54,3.0,10.0
657,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.5,3,5.0,10.0
658,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
659,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 1,0,10.0,10.0
660,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Difference,565,,10.0
661,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.2,246,2.0,10.0
662,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.3,32,3.0,10.0
663,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.5,1,5.0,10.0
664,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
665,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 1,0,10.0,10.0
666,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Difference,518,,10.0
667,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.2,259,2.0,10.0
668,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.3,44,3.0,10.0
669,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.5,3,5.0,10.0
670,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
671,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 1,0,10.0,10.0
672,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Difference,575,,10.0
673,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.2,238,2.0,10.0
674,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.3,36,3.0,10.0
675,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.5,3,5.0,10.0
676,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
677,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 1,0,10.0,10.0
678,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Difference,513,,10.0
679,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.2,260,2.0,10.0
680,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.3,45,3.0,10.0
681,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.5,2,5.0,10.0
682,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
683,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 1,0,10.0,10.0
684,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Difference,544,,10.0
685,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.2,254,2.0,10.0
686,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.3,36,3.0,10.0
687,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.5,1,5.0,10.0
688,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
689,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 1,0,10.0,10.0
690,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Difference,529,,10.0
691,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.2,246,2.0,10.0
692,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.3,52,3.0,10.0
693,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.5,1,5.0,10.0
694,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
695,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 1,0,10.0,10.0
696,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Difference,566,,10.0
697,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.2,241,2.0,10.0
